文字,日付,数値
eee,2023/04/14,1000
eee,2023/04/15,1000
eee,2023/04/16,1000
eee,2023/04/17,1000
eee,2023/04/18,1000
eee,2023/04/19,1000
eee,2023/04/20,1000
eee,2023/04/21,1000
eee,2023/04/22,1000
eee,2023/04/23,1000
eee,2023/04/24,1000
eee,2023/04/25,1000
eee,2023/04/26,1000
eee,2023/04/27,1000
eee,2023/04/28,1000
