文字,日付,数値
bbb,2023/04/09,3900
ddd,2023/04/09,538
aaa,2023/04/10,2650
eee,2023/04/10,7520
bbb,2023/04/10,1300
ccc,2023/04/10,6671
ddd,2023/04/10,5684
ddd,2023/04/11,7017
aaa,2023/04/11,7350
bbb,2023/04/11,7017
eee,2023/04/11,4466
ccc,2023/04/11,9173
bbb,2023/04/12,5800
eee,2023/04/12,7439
ddd,2023/04/12,2715
ccc,2023/04/12,1345
aaa,2023/04/12,2400
bbb,2023/04/13,1237
ddd,2023/04/13,5300
aaa,2023/04/13,3477
ccc,2023/04/13,1000
eee,2023/04/13,8101
aaa,2023/04/14,5008
ddd,2023/04/14,5409
ccc,2023/04/14,8550
bbb,2023/04/14,3801
eee,2023/04/14,4466
bbb,2023/04/15,2263
aaa,2023/04/15,6500
ddd,2023/04/15,808
eee,2023/04/15,3102
ccc,2023/04/15,5111
bbb,2023/04/16,4250
aaa,2023/04/16,4950
ccc,2023/04/16,6270
ddd,2023/04/16,3719
eee,2023/04/16,4600
ccc,2023/04/17,4169
eee,2023/04/17,2301
aaa,2023/04/17,4532
ddd,2023/04/17,8850
bbb,2023/04/17,2923
aaa,2023/04/18,10693
eee,2023/04/18,3097
ddd,2023/04/18,3600
ccc,2023/04/18,3396
bbb,2023/04/18,4589
eee,2023/04/19,2851
bbb,2023/04/19,1300
ccc,2023/04/19,4681
aaa,2023/04/19,5624
ddd,2023/04/19,4771
bbb,2023/04/20,1300
ccc,2023/04/20,3693
aaa,2023/04/20,5008
ddd,2023/04/20,12280
eee,2023/04/20,6300
aaa,2023/04/21,10525
ddd,2023/04/21,12994
bbb,2023/04/21,10364
ccc,2023/04/21,3700
eee,2023/04/21,4528
bbb,2023/04/22,1616
aaa,2023/04/22,753
ccc,2023/04/22,1650
ddd,2023/04/22,2959
eee,2023/04/22,775
ccc,2023/04/23,2102
bbb,2023/04/23,1200
aaa,2023/04/23,6194
ddd,2023/04/23,8662
eee,2023/04/23,4239
ccc,2023/04/24,3450
eee,2023/04/24,14619
bbb,2023/04/24,9474
aaa,2023/04/24,9888
ddd,2023/04/24,7300
aaa,2023/04/25,4285
bbb,2023/04/25,6076
ccc,2023/04/25,3174
eee,2023/04/25,1450
ddd,2023/04/25,3927
aaa,2023/04/26,2197
ccc,2023/04/26,3719
eee,2023/04/26,5300
ddd,2023/04/26,2859
bbb,2023/04/26,6226
eee,2023/04/27,2777
bbb,2023/04/27,13500
aaa,2023/04/27,9356
ddd,2023/04/27,6497
ccc,2023/04/27,9649
ccc,2023/04/28,9000
bbb,2023/04/28,5903
aaa,2023/04/28,5236
ddd,2023/04/28,2421
eee,2023/04/28,2900
