文字,日付,数値
ddd,2023/04/22,1126
eee,2023/04/22,1123
eee,2023/04/23,1101
ddd,2023/04/23,1106
bbb,2023/04/23,1118
ccc,2023/04/23,1125
aaa,2023/04/23,1116
ccc,2023/04/24,1101
eee,2023/04/24,1099
bbb,2023/04/24,1094
aaa,2023/04/24,1091
ddd,2023/04/24,1088
ddd,2023/04/25,1063
eee,2023/04/25,1070
ccc,2023/04/25,1074
bbb,2023/04/25,1081
aaa,2023/04/25,1086
aaa,2023/04/26,1063
ccc,2023/04/26,1057
eee,2023/04/26,1054
ddd,2023/04/26,1048
bbb,2023/04/26,1045
ddd,2023/04/27,1025
aaa,2023/04/27,1032
ccc,2023/04/27,1022
eee,2023/04/27,1042
bbb,2023/04/27,1037
aaa,2023/04/28,1007
ddd,2023/04/28,1003
ccc,2023/04/28,1017
bbb,2023/04/28,1013
eee,2023/04/28,999
