文字,日付,数値
eee,2023/04/19,3112
bbb,2023/04/19,3012
ccc,2023/04/19,2907
aaa,2023/04/19,2797
ddd,2023/04/19,2683
ddd,2023/04/20,2598
aaa,2023/04/20,2461
eee,2023/04/20,2352
bbb,2023/04/20,2195
ccc,2023/04/20,2084
aaa,2023/04/21,2000
ddd,2023/04/21,1897
bbb,2023/04/21,1800
ccc,2023/04/21,1711
eee,2023/04/21,1629
bbb,2023/04/22,1557
aaa,2023/04/22,1495
ccc,2023/04/22,1445
ddd,2023/04/22,1406
eee,2023/04/22,1378
eee,2023/04/23,1383
ddd,2023/04/23,1372
bbb,2023/04/23,1369
ccc,2023/04/23,1383
aaa,2023/04/23,1426
ccc,2023/04/24,1487
eee,2023/04/24,1550
bbb,2023/04/24,1626
aaa,2023/04/24,1714
ddd,2023/04/24,1811
ddd,2023/04/25,1947
eee,2023/04/25,2053
ccc,2023/04/25,2165
bbb,2023/04/25,2282
aaa,2023/04/25,2404
aaa,2023/04/26,2582
ccc,2023/04/26,2731
eee,2023/04/26,2882
ddd,2023/04/26,3033
bbb,2023/04/26,3183
ddd,2023/04/27,3367
aaa,2023/04/27,3491
ccc,2023/04/27,3645
eee,2023/04/27,3719
bbb,2023/04/27,3847
aaa,2023/04/28,4033
ddd,2023/04/28,4145
ccc,2023/04/28,4190
bbb,2023/04/28,4279
eee,2023/04/28,4385
